Date,Mean maximum (ºC),Mean(ºC),Mean minimum(ºC),Mean relative humidity (%),Insolation duration (hour),Total rainfall (mm)
2000/4/22,28.3,25.6,23.4,92,5.6,5.2
2000/4/23,25.6,23.6,22.7,97,0,42.6
2000/4/24,23.6,22.8,22,97,0.2,16.2
2000/4/25,28.5,26.4,23.4,92,6,1.2
2000/4/26,27.8,26,23.4,93,0.2,8
2000/4/27,26.4,23.1,20.7,90,0.7,7.2
2000/4/28,23,21.6,20.3,95,0,122.8
2000/4/29,25.3,23.6,21.1,96,0,5.2
2000/4/30,28.5,26.1,24.1,95,0.8,0.01
2000/5/1,30,27.2,25.5,92,5.3,0.8
2000/5/2,26.7,24.9,23.1,94,0,10.6
2000/5/3,23.8,22.1,19.9,94,0,42.2
2000/5/4,26,22.8,20.2,84,2.3,0.01
2000/5/5,28.3,24.4,21.9,82,4.4,0
2000/5/6,29.8,25.5,22.7,86,9.2,0
2000/5/7,28.4,25.1,23.5,86,5.7,0
2000/5/8,26.7,24.2,23.2,84,3.2,0
2000/5/9,26.5,24.3,23.2,86,0.3,0.01
2000/5/10,24.7,23.6,22.3,94,0,6.4
2000/5/11,26.3,24,22.5,84,1.3,0.2
2000/5/12,28.1,25,23.4,81,4.5,0.01
2000/5/13,30.1,26,23.5,82,7.5,0
2000/5/14,29.6,26.4,24.1,82,2.4,0
2000/5/15,29.9,26.6,25,82,5.1,0
2000/5/16,31.4,27.2,24.4,77,10.4,0
2000/5/17,29.7,26.7,24.6,80,10.2,0
2000/5/18,29.3,26.3,23.5,82,6.4,1.6
2000/5/19,23.7,21.2,20.1,94,0,14.2
2000/5/20,27.8,24.4,21.3,71,0.7,0.01
2000/5/21,26.2,24.8,23.3,65,0,0.01
2000/5/22,28.6,25.4,23.7,74,2.4,0.01
2000/5/23,27.3,25.1,24,81,1.8,0
